city,Flying Time
Beijing,5.750
Changsha,4.167
Chengdu,4.300
Chongqing,4.200
Guangzhou,3.600
Guiyang,3.783
Haikou,3.050
Hangzhuo,4.767
Jinan,5.383
Kunming,3.567
Nanchang,4.367
Nanjing,4.850
Nanning,3.317
Ningbo,4.783
Qingdao,5.450
Sanya,2.800
Shanghai,4.933
Shenyang,6.217
Shenzhen,3.533
Tianjin,5.667
Urumqi,6.367
Wuhan,4.533
Xi'an,4.833
Zhengzhou,4.983
